Branch,Opening_Rank,Closing_Rank,Category,Main_Category,Quota,Gender,Year,Source_File
IT,376358.0,376358.0,OBC/H/OP,OBC,H,OP,2022,2022_round2.pdf
MECH,59035.0,59035.0,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
MECH,64695.0,64695.0,FW/OP,FW,OP,,2022,2022_round2.pdf
MECH,53780.0,68267.0,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
MECH,60060.0,70164.0,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf
MECH,70638.0,73892.0,EWS,EWS,,,2022,2022_round2.pdf
MECH,78374.0,86161.0,UR/X/F,UR,X,F,2022,2022_round2.pdf
MECH,129942.0,129942.0,UR/S/OP,UR,S,OP,2022,2022_round2.pdf
MECH,136544.0,136544.0,OBC/X/F,OBC,X,F,2022,2022_round2.pdf
MECH,240103.0,240103.0,ST/X/F,ST,X,F,2022,2022_round2.pdf
MECH,229820.0,258057.0,ST/X/OP,ST,X,OP,2022,2022_round2.pdf
MECH,277428.0,277428.0,OBC/S/OP,OBC,S,OP,2022,2022_round2.pdf
CE,829231.0,829231.0,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf
CSE,363758.0,455057.0,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
CSE,553519.0,553519.0,ST/X/OP,ST,X,OP,2022,2022_round2.pdf
CSE,630663.0,630663.0,SC/X/OP,SC,X,OP,2022,2022_round2.pdf
CSE,721771.0,721771.0,FW/OP,FW,OP,,2022,2022_round2.pdf
CSE,557510.0,812922.0,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf
EC,100753.0,100753.0,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
AIML,457960.0,498510.0,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
CSE,150785.0,150785.0,FW/OP,FW,OP,,2022,2022_round2.pdf
CSE,254250.0,254250.0,UR/X/OP,UR,X,OP,2022,2022_round2.pdf
CSE,799822.0,799822.0,OBC/X/OP,OBC,X,OP,2022,2022_round2.pdf
IP,360804.0,487363.0,SC/X/F,SC,X,F,2023,2023_round1.pdf
IP,424816.0,763407.0,SC/X/OP,SC,X,OP,2023,2023_round1.pdf
IP,934394.0,934394.0,ST/X/F,ST,X,F,2023,2023_round1.pdf
IP,521568.0,521568.0,UR/S/OP,UR,S,OP,2023,2023_round1.pdf
IP,117962.0,171071.0,UR/X/F,UR,X,F,2023,2023_round1.pdf
IP,75393.0,90933.0,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
IP,89436.0,139074.0,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
IT,27578.0,32558.0,EWS,EWS,,,2023,2023_round1.pdf
IT,26783.0,31409.0,FW/OP,FW,OP,,2023,2023_round1.pdf
IT,979460.0,979460.0,OBC/H/F,OBC,H,F,2023,2023_round1.pdf
IT,124256.0,124256.0,OBC/NCC/OP,OBC,NCC,OP,2023,2023_round1.pdf
IT,89683.0,89683.0,OBC/S/OP,OBC,S,OP,2023,2023_round1.pdf
IT,44711.0,58612.0,OBC/X/F,OBC,X,F,2023,2023_round1.pdf
IT,34182.0,41270.0,OBC/X/OP,OBC,X,OP,2023,2023_round1.pdf
IT,578285.0,578285.0,SC/H/OP,SC,H,OP,2023,2023_round1.pdf
IT,458302.0,458302.0,SC/S/OP,SC,S,OP,2023,2023_round1.pdf
IT,153520.0,180478.0,SC/X/F,SC,X,F,2023,2023_round1.pdf
IT,132180.0,157698.0,SC/X/OP,SC,X,OP,2023,2023_round1.pdf
IT,284286.0,394150.0,ST/X/F,ST,X,F,2023,2023_round1.pdf
IT,220538.0,329025.0,ST/X/OP,ST,X,OP,2023,2023_round1.pdf
IT,102281.0,102281.0,UR/FF/F,UR,FF,F,2023,2023_round1.pdf
IT,469469.0,469469.0,UR/H/OP,UR,H,OP,2023,2023_round1.pdf
IT,169522.0,169522.0,UR/NCC/F,UR,NCC,F,2023,2023_round1.pdf
IT,170607.0,170607.0,UR/S/F,UR,S,F,2023,2023_round1.pdf
IT,47493.0,50611.0,UR/S/OP,UR,S,OP,2023,2023_round1.pdf
IT,32452.0,37932.0,UR/X/F,UR,X,F,2023,2023_round1.pdf
IT,22584.0,29747.0,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
IT,26851.0,35507.0,UR/X/OP,UR,X,OP,2023,2023_round1.pdf
MECH,67967.0,78308.0,EWS,EWS,,,2023,2023_round1.pdf
MECH,53066.0,71707.0,FW/OP,FW,OP,,2023,2023_round1.pdf
MECH,126336.0,126336.0,OBC/S/OP,OBC,S,OP,2023,2023_round1.pdf
