branch,opening_rank,closing_rank,category,main_category,quota,gender,year,source_file
CE,527210,527210,ST/X/OP,ST,X,OP,2020,2020_round2.pdf
CE,378488,533139,FW/OP,FW,OP,OP,2020,2020_round2.pdf
CE,166129,958887,UR/X/OP,UR,X,OP,2020,2020_round2.pdf
CSE,204261,326006,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
CSE,519414,519414,SC/X/OP,SC,X,OP,2020,2020_round2.pdf
EC,756325,756325,OBC/X/OP,OBC,X,OP,2020,2020_round2.pdf
CSE,393509,393509,FW/OP,FW,OP,OP,2020,2020_round2.pdf
EI,563189,722290,ST/X/F,ST,X,F,2021,2021_round1.pdf
EI,589106,741077,ST/X/OP,ST,X,OP,2021,2021_round1.pdf
IP,89115,92351,FW/OP,FW,OP,OP,2021,2021_round1.pdf
IP,80106,103367,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
IP,91131,107760,EWS,EWS,,OP,2021,2021_round1.pdf
IP,69685,131849,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
IP,128308,132260,OBC/X/F,OBC,X,F,2021,2021_round1.pdf
IP,95516,135635,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
IP,64560,137789,UR/X/F,UR,X,F,2021,2021_round1.pdf
IP,314715,314715,UR/S/OP,UR,S,OP,2021,2021_round1.pdf
IP,319493,499182,SC/X/OP,SC,X,OP,2021,2021_round1.pdf
IP,444371,537033,SC/X/F,SC,X,F,2021,2021_round1.pdf
IP,379818,632437,ST/X/OP,ST,X,OP,2021,2021_round1.pdf
IT,17301,21140,FW/OP,FW,OP,OP,2021,2021_round1.pdf
IT,19401,24455,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
IT,20961,26913,EWS,EWS,,OP,2021,2021_round1.pdf
IT,18805,27959,UR/X/OP,UR,X,OP,2021,2021_round1.pdf
IT,18487,31227,UR/X/F,UR,X,F,2021,2021_round1.pdf
IT,34253,34253,OBC/NCC/OP,OBC,NCC,OP,2021,2021_round1.pdf
IT,28125,34372,OBC/X/OP,OBC,X,OP,2021,2021_round1.pdf
IT,39302,39302,UR/S/OP,UR,S,OP,2021,2021_round1.pdf
