branch,opening_rank,closing_rank,category,main_category,quota,gender,year,source_file,domicile
MECH,83699,97524,UR/X/F,UR,X,F,2023,2023_round1.pdf,Y
MECH,60893,70010,UR/X/OP,UR,X,OP,2023,2023_round1.pdf,AI
MECH,36576,77349,UR/X/OP,UR,X,OP,2023,2023_round1.pdf,Y
CE,233100,233100,FW/OP,FW,OP,OP,2023,2023_round1.pdf,Y
CE,804002,804002,OBC/X/OP,OBC,X,OP,2023,2023_round1.pdf,Y
CE,828955,828955,SC/X/OP,SC,X,OP,2023,2023_round1.pdf,Y
CE,192658,773282,UR/X/OP,UR,X,OP,2023,2023_round1.pdf,Y
CSE,19218,19218,FW/OP,FW,OP,OP,2023,2023_round1.pdf,Y
CSE,386629,891475,OBC/X/OP,OBC,X,OP,2023,2023_round1.pdf,Y
CSE,1001263,1069911,SC/X/OP,SC,X,OP,2023,2023_round1.pdf,Y
CSE,256031,969694,UR/X/OP,UR,X,OP,2023,2023_round1.pdf,Y
EC,218262,218262,OBC/X/OP,OBC,X,OP,2023,2023_round1.pdf,Y
EC,106394,106394,UR/X/OP,UR,X,OP,2023,2023_round1.pdf,Y
MECH,1060384,1060384,SC/X/OP,SC,X,OP,2023,2023_round1.pdf,Y
IP,700697,700697,ST/X/OP,ST,X,OP,2023,2023_round2.pdf,Y
IP,228978,521568,UR/S/OP,UR,S,OP,2023,2023_round2.pdf,Y
IP,143683,228755,UR/X/F,UR,X,F,2023,2023_round2.pdf,Y
IP,107086,151207,UR/X/OP,UR,X,OP,2023,2023_round2.pdf,Y
IP,124735,155978,UR/X/OP,UR,X,OP,2023,2023_round2.pdf,AI
IT,60180,60455,EWS,EWS,GENERAL,OP,2023,2023_round2.pdf,Y
IT,49553,49553,FW/OP,FW,OP,OP,2023,2023_round2.pdf,Y
IT,51560,55314,OBC/X/OP,OBC,X,OP,2023,2023_round2.pdf,Y
IT,182181,182181,SC/X/F,SC,X,F,2023,2023_round2.pdf,Y
IT,166468,173065,SC/X/OP,SC,X,OP,2023,2023_round2.pdf,Y
IT,128162,189917,ST/X/OP,ST,X,OP,2023,2023_round2.pdf,Y
IT,616512,616512,UR/H/OP,UR,H,OP,2023,2023_round2.pdf,Y
IT,64745,66526,UR/X/F,UR,X,F,2023,2023_round2.pdf,Y
IT,29903,37162,UR/X/OP,UR,X,OP,2023,2023_round2.pdf,AI
IT,50541,60286,UR/X/OP,UR,X,OP,2023,2023_round2.pdf,Y
MECH,111578,112732,EWS,EWS,GENERAL,OP,2023,2023_round2.pdf,Y
MECH,107506,116963,FW/OP,FW,OP,OP,2023,2023_round2.pdf,Y
MECH,128588,163603,OBC/X/F,OBC,X,F,2023,2023_round2.pdf,Y
MECH,71904,100272,OBC/X/OP,OBC,X,OP,2023,2023_round2.pdf,Y
MECH,519985,519985,ST/X/F,ST,X,F,2023,2023_round2.pdf,Y
MECH,488504,700394,ST/X/OP,ST,X,OP,2023,2023_round2.pdf,Y
MECH,111989,130549,UR/X/F,UR,X,F,2023,2023_round2.pdf,Y
EI,521252,521252,ST/X/F,ST,X,F,2024,2024_round2.pdf,Y
MECH,227331,603009,ST/X/F,ST,X,F,2024,2024_round2.pdf,Y
ENTC,616415,616415,ST/X/F,ST,X,F,2024,2024_round2.pdf,Y
IP,954644,954644,ST/X/F,ST,X,F,2024,2024_round2.pdf,Y
CSE,10953,10953,ST/X/OP,ST,X,OP,2024,2024_round2.pdf,Y
CE,246829,406743,ST/X/OP,ST,X,OP,2024,2024_round2.pdf,Y
IT,419154,419154,ST/X/OP,ST,X,OP,2024,2024_round2.pdf,Y
ENTC,441144,441144,ST/X/OP,ST,X,OP,2024,2024_round2.pdf,Y
EE,528427,635386,ST/X/OP,ST,X,OP,2024,2024_round2.pdf,Y
MECH,523813,882182,ST/X/OP,ST,X,OP,2024,2024_round2.pdf,Y
EI,619324,1153192,ST/X/OP,ST,X,OP,2024,2024_round2.pdf,Y
BM,1353397,1353397,ST/X/OP,ST,X,OP,2024,2024_round2.pdf,Y
ENTC,96874,96874,UR/FF/OP,UR,FF,OP,2024,2024_round2.pdf,Y
MECH,922199,922199,UR/NCC/OP,UR,NCC,OP,2024,2024_round2.pdf,Y
CE,1023661,1023661,UR/S/F,UR,S,F,2024,2024_round2.pdf,Y
IT,71838,71838,UR/S/OP,UR,S,OP,2024,2024_round2.pdf,Y
IP,389178,389178,UR/S/OP,UR,S,OP,2024,2024_round2.pdf,Y
CSE,40534,54537,UR/X/F,UR,X,F,2024,2024_round2.pdf,Y
IT,54625,61927,UR/X/F,UR,X,F,2024,2024_round2.pdf,Y
ENTC,64065,70835,UR/X/F,UR,X,F,2024,2024_round2.pdf,Y
EI,73650,73650,UR/X/F,UR,X,F,2024,2024_round2.pdf,Y
EE,85503,88802,UR/X/F,UR,X,F,2024,2024_round2.pdf,Y
MECH,93845,100958,UR/X/F,UR,X,F,2024,2024_round2.pdf,Y
IP,103215,126463,UR/X/F,UR,X,F,2024,2024_round2.pdf,Y
CE,112924,151093,UR/X/F,UR,X,F,2024,2024_round2.pdf,Y
BM,156948,184092,UR/X/F,UR,X,F,2024,2024_round2.pdf,Y
BEIL,268308,300675,UR/X/F,UR,X,F,2024,2024_round2.pdf,Y
IT,3907,3907,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,AI
CSE,9378,9378,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,Y
IT,11528,42938,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,Y
ENTC,24855,50665,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,Y
ENTC,48148,56282,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,Y
EI,57740,69256,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,Y
EI,68713,70020,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,AI
EE,59510,79101,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,Y
EE,24244,80104,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,AI
MECH,82713,89313,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,AI
MECH,78489,96818,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,Y
CE,53868,104781,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,Y
CE,92007,108401,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,AI
IP,94053,143191,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,Y
IP,131452,143800,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,AI
BM,117716,163802,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,AI
BM,108631,199966,UR/X/OP,UR,X,OP,2024,2024_round2.pdf,Y
